City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Laguna,US,38.42,-121.42,48.09,84,0,0.0,clear sky
146,Jamame,SO,0.07,42.75,91.06,44,62,16.26,broken clouds
147,Kodinsk,RU,58.69,99.18,17.15,92,100,7.02,light snow
148,Gilgit,PK,35.92,74.31,29.66,47,0,4.36,clear sky
149,Sitka,US,57.05,-135.33,46.29,76,100,20.71,moderate rain
150,Klyuchi,RU,52.27,79.17,17.65,83,9,6.6,clear sky
151,Balakovo,RU,52.03,47.80,32.25,98,100,7.67,light snow
152,Vila Velha,BR,-20.33,-40.29,75.15,91,75,4.61,broken clouds
153,Namibe,AO,-15.20,12.15,70.43,88,40,5.75,scattered clouds
154,Okhotsk,RU,59.38,143.30,10.33,74,95,14.29,overcast clouds
155,Saint-Augustin,CA,51.23,-58.65,-2.34,74,100,12.68,overcast clouds
156,Tuktoyaktuk,CA,69.45,-133.04,-23.84,100,99,7.18,overcast clouds
157,Puerto Madryn,AR,-42.77,-65.04,72.03,50,100,11.92,overcast clouds
158,Rundu,NA,-17.93,19.77,76.48,62,75,4.81,broken clouds
159,Carnarvon,AU,-24.87,113.63,95.07,36,6,14.97,clear sky
160,Nanortalik,GL,60.14,-45.24,23.88,90,100,38.63,snow
161,Bethel,US,41.37,-73.41,51.89,88,100,8.05,overcast clouds
162,Acarau,BR,-2.89,-40.12,77.18,85,100,9.08,overcast clouds
163,Bousse,BF,12.66,-1.89,62.17,13,13,12.88,few clouds
164,Sfantu Gheorghe,RO,45.87,25.78,27.93,67,70,1.45,broken clouds
165,Narsaq,GL,60.92,-46.05,26.82,96,100,20.15,snow
166,Oksfjord,NO,70.24,22.35,21.38,93,100,20.47,overcast clouds
167,Nichinan,JP,31.60,131.37,55.08,41,0,10.54,clear sky
168,Eureka,US,40.80,-124.16,45.19,81,18,3.98,few clouds
169,Tiksi,RU,71.69,128.87,-11.43,100,100,4.34,overcast clouds
170,Coihaique,CL,-45.58,-72.07,48.15,87,0,4.61,clear sky
171,Yorkton,CA,51.22,-102.47,-20.36,69,20,12.66,few clouds
172,Nyurba,RU,63.28,118.33,-18.44,99,22,3.33,few clouds
173,Havelock,US,34.88,-76.90,68.02,88,100,8.01,overcast clouds
174,Beidao,CN,34.57,105.89,33.39,63,53,2.26,broken clouds
175,Helong,CN,42.54,129.00,8.76,69,100,11.18,overcast clouds
176,Irtyshskiy,RU,58.33,68.13,30.18,97,100,9.84,light snow
177,Victoria,HK,22.29,114.16,67.03,60,56,1.01,broken clouds
178,Pitimbu,BR,-7.47,-34.81,77.59,65,94,10.18,overcast clouds
179,Axams,AT,47.21,11.29,26.69,99,100,1.14,fog
180,Kichera,RU,55.94,110.10,1.54,96,100,3.06,overcast clouds
181,Vrangel,RU,42.73,133.08,16.32,49,5,17.02,clear sky
182,Olafsvik,IS,64.89,-23.71,28.49,79,90,24.32,overcast clouds
183,Soligalich,RU,59.08,42.29,15.57,94,95,2.24,overcast clouds
184,Saint-Georges,GD,12.06,-61.75,77.43,66,99,14.41,overcast clouds
185,Havre-Saint-Pierre,CA,50.23,-63.60,5.59,60,100,6.91,overcast clouds
186,Miri,MY,4.41,114.01,87.94,66,40,16.11,scattered clouds
187,Zhangjiakou,CN,40.81,114.88,18.45,44,55,14.34,light snow
188,Lokoja,NG,7.80,6.74,82.27,31,0,2.26,clear sky
189,Mudgee,AU,-32.59,149.59,69.85,49,40,17.27,scattered clouds
190,Corinto,GR,37.94,22.96,47.89,66,82,2.08,broken clouds
191,Kavieng,PG,-2.57,150.80,83.05,73,43,10.8,scattered clouds
192,Basoko,CD,1.24,23.62,82.18,56,97,0.29,overcast clouds
193,Izumo,JP,35.37,132.77,42.75,52,75,20.71,broken clouds
194,Saskylakh,RU,71.92,114.08,-11.52,99,100,3.36,light snow
195,Jasper,US,37.20,-94.35,17.51,82,100,4.0,light snow
196,Annau,TM,37.89,58.52,56.7,30,0,4.61,clear sky
197,Marawi,PH,8.00,124.29,72.64,94,100,3.83,overcast clouds
198,Vestmannaeyjar,IS,63.44,-20.27,29.59,66,6,28.68,clear sky
199,Shegaon,IN,20.78,76.68,78.91,14,0,8.1,clear sky
200,Carutapera,BR,-1.20,-46.02,77.29,88,100,7.47,overcast clouds
201,Kuytun,RU,54.34,101.50,12.16,90,77,1.95,broken clouds
202,Alofi,NU,-19.06,-169.92,75.09,94,100,11.5,overcast clouds
203,Shilovo,RU,54.32,40.87,24.39,91,100,10.78,overcast clouds
204,Lakatoro,VU,-16.10,167.42,77.81,91,100,10.65,moderate rain
205,Yerbogachen,RU,61.28,108.01,13.24,94,100,6.93,light snow
206,Altamont,US,42.21,-121.74,35.78,78,0,0.0,clear sky
207,Dikson,RU,73.51,80.55,-7.94,95,100,4.36,overcast clouds
208,Kalach-Na-Donu,RU,48.69,43.53,34.92,100,100,8.46,overcast clouds
209,Tromso,NO,69.65,18.96,23.02,50,40,17.27,scattered clouds
210,Usinsk,RU,65.99,57.53,11.79,96,99,7.65,overcast clouds
211,La Asuncion,VE,11.03,-63.86,76.73,88,0,12.66,clear sky
212,Lalmohan,BD,22.34,90.74,75.31,57,14,12.26,few clouds
213,Kapit,MY,2.02,112.93,81.19,91,96,2.3,overcast clouds
214,Grand Gaube,MU,-20.01,57.66,84.6,81,100,11.99,overcast clouds
215,Fuyu,CN,45.18,124.82,5.58,84,45,6.98,scattered clouds
216,Zhigansk,RU,66.77,123.37,-33.11,99,76,4.18,broken clouds
217,Kiunga,PG,-6.12,141.29,85.98,69,95,2.46,overcast clouds
218,Galle,LK,6.04,80.22,81.63,66,6,6.2,clear sky
219,Lebedinyy,RU,58.52,125.52,-10.05,99,100,3.0,overcast clouds
220,Magdagachi,RU,53.45,125.80,1.71,78,98,3.87,overcast clouds
221,Edson,CA,53.58,-116.44,-0.26,85,75,6.91,snow
222,Nemencine,LT,54.85,25.48,24.35,98,98,10.09,overcast clouds
223,Upernavik,GL,72.79,-56.15,7.61,78,100,8.88,overcast clouds
224,Chuy,UY,-33.70,-53.46,68.38,95,100,6.78,light rain
225,Tehachapi,US,35.13,-118.45,42.35,32,59,8.01,broken clouds
226,Priego De Cordoba,ES,37.44,-4.20,56.71,54,100,2.06,overcast clouds
227,Taoudenni,ML,22.68,-3.98,61.02,18,40,9.28,scattered clouds
228,Praia,CV,14.92,-23.51,72.14,68,0,6.91,clear sky
229,Dzilam Gonzalez,MX,21.28,-88.93,69.33,98,3,4.61,clear sky
230,Doha,QA,25.29,51.53,73.38,64,8,6.91,clear sky
231,Marzuq,YE,14.40,46.47,77.59,15,65,3.71,broken clouds
232,Bilma,NE,18.69,12.92,56.08,27,0,11.52,clear sky
233,Eenhana,NA,-17.47,16.33,76.75,65,82,9.31,broken clouds
234,Mayo,US,38.89,-76.51,62.24,94,100,1.01,light rain
235,Altus,US,34.64,-99.33,20.71,76,75,12.66,broken clouds
236,Naron,ES,43.52,-8.15,52.83,85,100,8.05,overcast clouds
237,Mitchell,US,43.71,-98.03,8.74,56,0,5.75,clear sky
238,Xinqing,CN,48.23,129.50,2.07,81,100,7.16,overcast clouds
239,Vao,NC,-22.67,167.48,77.68,87,98,17.2,overcast clouds
240,Saint John,CA,45.27,-66.07,28.4,93,100,16.11,snow
241,Bulgan,MN,48.81,103.53,12.09,78,99,0.92,overcast clouds
242,Rio Gallegos,AR,-51.62,-69.22,42.85,75,75,10.36,broken clouds
243,Jijiga,ET,9.35,42.80,75.22,8,5,11.39,clear sky
244,Fortuna,US,40.60,-124.16,45.93,92,100,1.01,overcast clouds
245,Margate,GB,51.38,1.39,49.96,78,100,8.99,overcast clouds
246,Soller,ES,39.77,2.72,52.03,62,14,2.13,few clouds
247,Weinan,CN,34.50,109.51,46.09,23,3,8.68,clear sky
248,Sarramea,NC,-21.64,165.85,83.32,89,95,6.98,overcast clouds
249,Rusne,LT,55.30,21.38,35.69,98,100,12.44,overcast clouds
250,Jumla,NP,29.27,82.18,37.83,89,100,7.18,overcast clouds
251,Danilovka,RU,50.36,44.12,32.79,100,100,6.53,overcast clouds
252,Konza,KE,-1.74,37.13,69.98,42,70,11.25,broken clouds
253,Yabelo,ET,4.88,38.08,74.71,26,93,12.03,overcast clouds
254,Makrana,IN,27.05,74.72,68.47,20,0,10.02,clear sky
255,Zlocieniec,PL,53.53,16.01,42.69,98,100,7.94,overcast clouds
256,Hohhot,CN,40.81,111.65,23.29,36,0,6.71,clear sky
257,Cherskiy,RU,68.75,161.30,-32.62,99,7,3.85,clear sky
258,Comrat,MD,46.30,28.66,33.49,65,47,7.61,scattered clouds
259,Bafoulabe,ML,13.81,-10.83,70.36,12,20,3.69,few clouds
260,Derzhavinsk,KZ,51.10,66.32,22.14,75,100,6.62,overcast clouds
261,Kahului,US,20.89,-156.47,72.84,78,0,0.0,clear sky
262,Lima,PE,-12.04,-77.03,67.89,84,0,5.75,clear sky
263,Talaya,RU,61.38,152.75,-31.77,100,27,4.32,scattered clouds
264,Cuxhaven,DE,53.87,8.69,44.8,87,75,14.97,mist
265,Santa Cruz,BO,-17.80,-63.17,74.66,100,75,13.8,broken clouds
266,May Pen,JM,17.96,-77.25,76.21,93,6,4.65,clear sky
267,Kencong,ID,-8.28,113.37,83.71,73,100,8.93,overcast clouds
268,La Orilla,MX,17.98,-102.23,67.03,87,2,3.67,clear sky
269,Makakilo City,US,21.35,-158.09,70.12,68,0,5.75,clear sky
270,Alta Floresta,BR,-9.88,-56.09,69.64,97,94,0.74,overcast clouds
271,Butka,RU,56.72,63.79,26.65,95,100,10.2,light snow
272,Hammerfest,NO,70.66,23.68,20.93,79,20,19.57,few clouds
273,Broome,US,42.25,-75.83,25.54,83,100,3.0,mist
274,Novyy Urengoy,RU,66.08,76.63,6.69,97,97,4.99,overcast clouds
275,Liepaja,LV,56.54,21.04,32.05,93,100,9.22,overcast clouds
276,Sidi Ali,DZ,36.10,0.42,55.96,48,19,6.04,few clouds
277,Tabou,CI,4.42,-7.35,78.87,80,58,1.77,broken clouds
278,Constancia,MX,24.22,-107.19,55.22,71,0,7.52,clear sky
279,Hovd,MN,48.01,91.64,0.55,84,14,3.38,few clouds
280,Enid,US,36.40,-97.88,19.08,84,100,1.99,overcast clouds
281,Fare,PF,-16.70,-151.02,80.65,74,3,14.83,clear sky
282,Tabas,IR,33.60,56.92,59.22,19,0,6.26,clear sky
283,Ballina,AU,-28.87,153.57,75.16,76,75,24.16,broken clouds
284,Kitakata,JP,37.65,139.87,35.71,94,89,1.19,overcast clouds
285,Kruisfontein,ZA,-34.00,24.73,67.89,60,96,9.15,overcast clouds
286,Palamos,ES,41.85,3.13,54.37,70,100,2.35,overcast clouds
287,Saint-Donat-De-Montcalm,CA,46.32,-74.22,4.86,88,100,7.4,overcast clouds
288,Moissala,TD,8.34,17.77,81.75,9,75,7.96,broken clouds
289,Tautira,PF,-17.73,-149.15,80.62,77,84,13.67,broken clouds
290,Kishtwar,IN,33.32,75.77,42.69,83,100,4.05,overcast clouds
291,Chokurdakh,RU,70.63,147.92,-29.79,100,14,1.52,few clouds
292,Maltahohe,NA,-24.83,16.98,78.96,32,0,19.69,clear sky
293,The Valley,AI,18.22,-63.06,76.1,76,21,11.25,few clouds
294,Bosaso,SO,11.28,49.18,76.98,73,20,6.91,few clouds
295,Lavrentiya,RU,65.58,-171.00,1.78,54,0,21.92,clear sky
296,Iracoubo,GF,5.48,-53.20,75.87,90,70,11.5,light rain
297,Xining,CN,36.62,101.77,23.11,38,62,3.04,broken clouds
