City_ID,City,Country,Date,Lat,Lng,Max Temp,Max Temp,Max Temp,Max Temp,Humidity,Cloudiness,Wind Speed
88,Barberton,ZA,2022-02-02 21:57:13,-25.7884,31.0532,73.45,73.45,73.45,73.45,84,1,0.85
89,Dhidhdhoo,MV,2022-02-02 21:57:14,6.8833,73.1,80.65,80.65,80.65,80.65,74,17,11.05
90,Kutum,SD,2022-02-02 21:58:14,14.2,24.6667,67.19,67.19,67.19,67.19,21,48,8.05
91,Canatlan,MX,2022-02-02 21:58:15,24.5167,-104.7833,69.33,69.33,69.33,69.33,26,5,24.38
92,Wanlaweyn,SO,2022-02-02 21:58:15,2.6185,44.8938,77.92,77.92,77.92,77.92,70,97,15.1
93,Kodiak,US,2022-02-02 21:58:15,57.79,-152.4072,36.91,36.91,36.91,36.91,93,100,0.0
94,Kandrian,PG,2022-02-02 21:58:16,-6.2167,149.55,78.39,78.39,78.39,78.39,84,100,16.6
95,Samarai,PG,2022-02-02 21:58:16,-10.6167,150.6667,80.47,80.47,80.47,80.47,79,98,6.58
96,Lagos,NG,2022-02-02 21:58:16,6.5833,3.75,79.12,79.12,79.12,79.12,83,21,5.17
97,Libertador General San Martin,AR,2022-02-02 21:58:17,-23.8064,-64.7876,82.98,82.98,82.98,82.98,38,40,4.61
98,Daru,PG,2022-02-02 21:58:17,-9.0763,143.2092,76.5,76.5,76.5,76.5,79,100,5.68
99,Cap Malheureux,MU,2022-02-02 21:58:18,-19.9842,57.6142,79.47,79.47,79.47,79.47,89,100,18.01
100,Nakatsugawa,JP,2022-02-02 21:58:18,35.4833,137.5,34.11,34.11,34.11,34.11,86,91,2.84
101,Port Alfred,ZA,2022-02-02 21:58:18,-33.5906,26.891,73.98,73.98,73.98,73.98,95,100,7.94
102,Humaita,BR,2022-02-02 21:58:19,-7.5061,-63.0208,75.83,75.83,75.83,75.83,95,100,1.83
103,Fredericksburg,US,2022-02-02 21:55:54,38.3032,-77.4605,51.69,51.69,51.69,51.69,63,0,1.01
104,San Quintin,MX,2022-02-02 21:58:20,30.4833,-115.95,61.68,61.68,61.68,61.68,55,0,11.18
105,Harnosand,SE,2022-02-02 21:58:20,62.6323,17.9379,8.6,8.6,8.6,8.6,88,57,5.95
106,Umm Lajj,SA,2022-02-02 21:58:20,25.0213,37.2685,69.12,69.12,69.12,69.12,50,0,6.35
107,Saldanha,ZA,2022-02-02 21:58:21,-33.0117,17.9442,66.25,66.25,66.25,66.25,86,79,6.91
108,Basco,PH,2022-02-02 21:58:21,20.4487,121.9702,75.45,75.45,75.45,75.45,71,84,15.59
109,Ilulissat,GL,2022-02-02 21:54:11,69.2167,-51.1,-8.41,-8.41,-8.41,-8.41,57,85,16.4
110,Mackay,AU,2022-02-02 21:54:12,-21.15,149.2,83.68,83.68,83.68,83.68,83,40,4.61
111,Ventspils,LV,2022-02-02 21:58:22,57.3894,21.5606,28.33,28.33,28.33,28.33,69,100,11.5
112,Boppard,DE,2022-02-02 21:58:22,50.2308,7.5899,48.11,48.11,48.11,48.11,82,100,4.36
113,Tiarei,PF,2022-02-02 21:58:23,-17.5333,-149.3333,86.02,86.02,86.02,86.02,77,11,19.73
114,Aswan,EG,2022-02-02 21:58:23,24.0934,32.907,60.1,60.1,60.1,60.1,38,0,8.05
115,Geraldton,AU,2022-02-02 21:58:24,-28.7667,114.6,84.61,84.61,84.61,84.61,17,0,19.57
116,Saryg-Sep,RU,2022-02-02 21:58:24,51.5,95.6,-21.23,-21.23,-21.23,-21.23,100,99,2.62
117,Hambantota,LK,2022-02-02 21:58:25,6.1241,81.1185,71.94,71.94,71.94,71.94,100,20,0.0
118,Cayenne,GF,2022-02-02 21:54:15,4.9333,-52.3333,80.1,80.1,80.1,80.1,84,75,5.99
119,Narsaq,GL,2022-02-02 21:58:25,60.9167,-46.05,-1.53,-1.53,-1.53,-1.53,66,56,7.92
120,Harindanga,IN,2022-02-02 21:58:26,22.0383,88.3214,66.18,66.18,66.18,66.18,86,0,3.47
121,Yellowknife,CA,2022-02-02 21:58:26,62.456,-114.3525,-21.71,-21.71,-21.71,-21.71,75,20,3.44
122,Ostrovnoy,RU,2022-02-02 21:57:28,68.0531,39.5131,20.82,20.82,20.82,20.82,91,100,15.01
123,Krasnyy Chikoy,RU,2022-02-02 21:58:27,50.3643,108.7512,-9.17,-9.17,-9.17,-9.17,100,100,1.92
124,Cape Coast,GH,2022-02-02 21:58:27,5.1053,-1.2466,80.42,80.42,80.42,80.42,83,2,11.05
125,Lebu,CL,2022-02-02 21:54:21,-37.6167,-73.65,63.72,63.72,63.72,63.72,79,45,11.01
126,Fairbanks,US,2022-02-02 21:55:25,64.8378,-147.7164,-7.4,-7.4,-7.4,-7.4,72,0,0.0
127,Bambous Virieux,MU,2022-02-02 21:56:01,-20.3428,57.7575,79.21,79.21,79.21,79.21,100,75,33.38
128,Pechory,RU,2022-02-02 21:58:28,57.8164,27.6119,20.66,20.66,20.66,20.66,99,97,1.79
129,Norman Wells,CA,2022-02-02 21:58:29,65.282,-126.8329,-21.96,-21.96,-21.96,-21.96,69,75,11.5
130,Axim,GH,2022-02-02 21:58:29,4.8699,-2.2405,80.33,80.33,80.33,80.33,81,9,9.82
131,Esperance,AU,2022-02-02 21:58:30,-33.8667,121.9,57.04,57.04,57.04,57.04,72,2,12.15
132,Khorramshahr,IR,2022-02-02 21:58:30,30.4397,48.1664,49.96,49.96,49.96,49.96,87,0,4.61
133,East London,ZA,2022-02-02 21:56:22,-33.0153,27.9116,74.89,74.89,74.89,74.89,94,59,11.56
134,Codrington,AU,2022-02-02 21:56:57,-38.2667,141.9667,59.04,59.04,59.04,59.04,65,86,13.62
135,Yenagoa,NG,2022-02-02 21:59:31,4.9247,6.2642,80.02,80.02,80.02,80.02,72,4,6.38
136,Chulym,RU,2022-02-02 21:59:31,55.0997,80.9572,-5.28,-5.28,-5.28,-5.28,100,100,4.63
137,Vardo,NO,2022-02-02 21:59:32,70.3705,31.1107,23.2,23.2,23.2,23.2,58,100,17.4
138,Abu Samrah,SY,2022-02-02 21:59:32,35.3029,37.1841,48.63,48.63,48.63,48.63,56,93,10.89
139,Padre Bernardo,BR,2022-02-02 21:59:33,-15.35,-48.5,73.17,73.17,73.17,73.17,81,68,2.42
140,Port Blair,IN,2022-02-02 21:57:03,11.6667,92.75,76.71,76.71,76.71,76.71,70,83,5.82
141,Launceston,AU,2022-02-02 21:59:33,-41.45,147.1667,60.44,60.44,60.44,60.44,56,40,1.01
142,Yerbogachen,RU,2022-02-02 21:59:34,61.2767,108.0108,-5.03,-5.03,-5.03,-5.03,99,98,3.58
143,Namibe,AO,2022-02-02 21:59:34,-15.1961,12.1522,73.0,73.0,73.0,73.0,70,83,10.69
144,Iqaluit,CA,2022-02-02 21:59:34,63.7506,-68.5145,8.33,8.33,8.33,8.33,78,100,11.01
145,Bouna,CI,2022-02-02 21:59:35,9.2667,-3.0,73.45,73.45,73.45,73.45,10,56,5.12
146,Hattiesburg,US,2022-02-02 21:59:32,31.3271,-89.2903,65.53,65.53,65.53,65.53,97,100,4.61
147,Machinga,MW,2022-02-02 21:59:35,-15.1685,35.3,67.96,67.96,67.96,67.96,90,51,2.28
148,Doha,QA,2022-02-02 21:56:09,25.2867,51.5333,60.78,60.78,60.78,60.78,72,0,10.36
149,Bandarbeyla,SO,2022-02-02 21:59:36,9.4942,50.8122,74.71,74.71,74.71,74.71,73,16,16.69
150,Solnechnyy,RU,2022-02-02 21:59:36,50.7214,136.6319,-8.91,-8.91,-8.91,-8.91,99,95,2.55
151,Henties Bay,NA,2022-02-02 21:59:37,-22.116,14.2845,68.86,68.86,68.86,68.86,81,78,5.23
152,Grindavik,IS,2022-02-02 21:59:37,63.8424,-22.4338,25.27,25.27,25.27,25.27,68,75,4.61
153,Montmagny,FR,2022-02-02 21:59:37,48.9734,2.3469,49.01,49.01,49.01,49.01,78,100,5.75
154,Dikson,RU,2022-02-02 21:58:38,73.5069,80.5464,-7.8,-7.8,-7.8,-7.8,98,94,9.89
155,Monterrey,MX,2022-02-02 21:55:34,25.6667,-100.3167,91.04,91.04,91.04,91.04,32,0,5.73
156,Laguna,US,2022-02-02 21:59:38,38.421,-121.4238,62.47,62.47,62.47,62.47,28,0,10.0
157,Berlevag,NO,2022-02-02 21:59:38,70.8578,29.0864,17.55,17.55,17.55,17.55,93,75,8.05
158,Roald,NO,2022-02-02 21:55:57,62.5833,6.1333,35.74,35.74,35.74,35.74,75,20,9.22
159,Ponta Delgada,PT,2022-02-02 21:59:39,37.7333,-25.6667,58.5,58.5,58.5,58.5,77,20,8.05
160,Ayan,RU,2022-02-02 21:58:57,56.45,138.1667,-2.92,-2.92,-2.92,-2.92,70,100,15.3
161,Kolokani,ML,2022-02-02 21:59:40,13.5728,-8.0339,70.88,70.88,70.88,70.88,16,0,9.24
162,Oksfjord,NO,2022-02-02 21:56:48,70.2396,22.3479,16.72,16.72,16.72,16.72,93,74,10.54
163,Xiaoweizhai,CN,2022-02-02 21:59:40,26.1903,107.5125,32.72,32.72,32.72,32.72,91,100,4.0
164,Vao,NC,2022-02-02 21:55:12,-22.6667,167.4833,77.74,77.74,77.74,77.74,77,97,14.54
165,Ancud,CL,2022-02-02 21:59:41,-41.8697,-73.8203,69.33,69.33,69.33,69.33,76,96,7.07
166,Atbasar,KZ,2022-02-02 21:58:04,51.8,68.3333,8.55,8.55,8.55,8.55,89,95,4.7
167,Georgetown,MY,2022-02-02 21:55:17,5.4112,100.3354,80.53,80.53,80.53,80.53,90,20,0.0
168,La Ronge,CA,2022-02-02 21:59:41,55.1001,-105.2842,-12.75,-12.75,-12.75,-12.75,44,0,4.61
169,Kavaratti,IN,2022-02-02 21:59:42,10.5669,72.642,79.52,79.52,79.52,79.52,72,7,10.6
170,Christchurch,NZ,2022-02-02 21:59:42,-43.5333,172.6333,84.0,84.0,84.0,84.0,55,100,4.0
171,Rocha,UY,2022-02-02 21:56:08,-34.4833,-54.3333,75.36,75.36,75.36,75.36,71,0,12.46
172,Carnarvon,AU,2022-02-02 21:59:43,-24.8667,113.6333,77.07,77.07,77.07,77.07,88,75,10.36
173,San Marcos,US,2022-02-02 21:59:43,33.1434,-117.1661,68.77,68.77,68.77,68.77,17,0,1.01
174,Qaanaaq,GL,2022-02-02 21:59:43,77.484,-69.3632,-14.91,-14.91,-14.91,-14.91,81,100,6.98
175,Caucaia,BR,2022-02-02 21:55:02,-3.7361,-38.6531,82.35,82.35,82.35,82.35,80,75,8.05
176,Faanui,PF,2022-02-02 21:59:44,-16.4833,-151.75,81.01,81.01,81.01,81.01,73,20,20.0
177,Tilichiki,RU,2022-02-02 21:59:44,60.4667,166.1,1.54,1.54,1.54,1.54,82,100,10.92
178,Barbosa Ferraz,BR,2022-02-02 21:59:45,-24.03,-52.0117,79.09,79.09,79.09,79.09,87,5,3.89
179,Bela,IN,2022-02-02 21:59:45,25.9333,81.9833,53.44,53.44,53.44,53.44,62,0,8.23
180,Stepnyak,KZ,2022-02-02 21:59:46,52.8339,70.7803,14.65,14.65,14.65,14.65,83,100,9.04
181,Shubarshi,KZ,2022-02-02 22:00:46,48.5872,57.1869,13.24,13.24,13.24,13.24,92,42,7.2
182,Paragould,US,2022-02-02 22:00:47,36.0584,-90.4973,33.73,33.73,33.73,33.73,96,100,1.99
183,Arraial Do Cabo,BR,2022-02-02 22:00:47,-22.9661,-42.0278,75.58,75.58,75.58,75.58,88,97,6.33
184,Manzhouli,CN,2022-02-02 22:00:48,49.6,117.4333,-16.71,-16.71,-16.71,-16.71,95,22,6.58
185,Rio Gallegos,AR,2022-02-02 22:00:48,-51.6226,-69.2181,55.65,55.65,55.65,55.65,64,100,16.98
186,Kapit,MY,2022-02-02 22:00:49,2.0167,112.9333,71.74,71.74,71.74,71.74,99,94,1.03
187,Haines Junction,CA,2022-02-02 22:00:49,60.7522,-137.5108,6.76,6.76,6.76,6.76,89,100,2.33
188,Hay River,CA,2022-02-02 22:00:50,60.8156,-115.7999,-7.78,-7.78,-7.78,-7.78,93,33,2.64
189,Lorengau,PG,2022-02-02 22:00:50,-2.0226,147.2712,79.75,79.75,79.75,79.75,80,100,11.45
190,Ahipara,NZ,2022-02-02 21:57:07,-35.1667,173.1667,74.41,74.41,74.41,74.41,71,100,13.06
191,College,US,2022-02-02 22:00:51,64.8569,-147.8028,-4.41,-4.41,-4.41,-4.41,76,6,2.77
192,Kaitangata,NZ,2022-02-02 22:00:51,-46.2817,169.8464,54.36,54.36,54.36,54.36,95,100,4.99
193,Kavieng,PG,2022-02-02 22:00:52,-2.5744,150.7967,78.42,78.42,78.42,78.42,84,100,13.67
194,Turukhansk,RU,2022-02-02 21:56:16,65.8167,87.9833,1.13,1.13,1.13,1.13,96,100,6.42
195,Taoudenni,ML,2022-02-02 22:00:52,22.6783,-3.9836,67.33,67.33,67.33,67.33,18,7,14.76
196,Mar Del Plata,AR,2022-02-02 22:00:31,-38.0023,-57.5575,81.09,81.09,81.09,81.09,68,92,8.93
197,Altay,CN,2022-02-02 21:57:40,47.8667,88.1167,4.15,4.15,4.15,4.15,72,11,6.78
198,Ribeira Grande,PT,2022-02-02 22:00:53,38.5167,-28.7,59.7,59.7,59.7,59.7,74,8,9.42
199,Suwannaphum,TH,2022-02-02 22:00:54,15.6035,103.8021,75.4,75.4,75.4,75.4,78,32,9.66
200,Kautokeino,NO,2022-02-02 22:00:54,69.0125,23.0412,7.34,7.34,7.34,7.34,96,100,4.41
201,Price,US,2022-02-02 22:00:55,39.5994,-110.8107,27.12,27.12,27.12,27.12,37,77,13.35
202,Byron Bay,AU,2022-02-02 21:59:53,-28.65,153.6167,76.05,76.05,76.05,76.05,94,99,12.03
203,Chuy,UY,2022-02-02 22:00:55,-33.6971,-53.4616,74.48,74.48,74.48,74.48,74,0,13.22
204,Husavik,IS,2022-02-02 22:00:56,66.0449,-17.3389,20.64,20.64,20.64,20.64,91,99,5.86
205,Cidreira,BR,2022-02-02 22:00:56,-30.1811,-50.2056,75.97,75.97,75.97,75.97,84,0,17.74
206,Grand Gaube,MU,2022-02-02 22:00:57,-20.0064,57.6608,79.38,79.38,79.38,79.38,88,100,18.01
207,Fortuna,US,2022-02-02 22:00:57,40.5982,-124.1573,57.85,57.85,57.85,57.85,70,0,3.0
208,Ialibu,PG,2022-02-02 22:00:58,-6.2821,143.9935,56.64,56.64,56.64,56.64,85,100,1.74
209,Martapura,ID,2022-02-02 22:00:58,-3.4167,114.85,75.29,75.29,75.29,75.29,94,100,3.44
210,Viedma,AR,2022-02-02 21:56:22,-40.8135,-62.9967,81.97,81.97,81.97,81.97,24,21,8.12
211,Oksbol,DK,2022-02-02 22:00:59,55.6268,8.2876,43.09,43.09,43.09,43.09,93,100,16.44
212,Sabang,ID,2022-02-02 22:00:59,5.8933,95.3214,80.65,80.65,80.65,80.65,78,48,8.23
213,Rawson,AR,2022-02-02 22:01:00,-43.3002,-65.1023,75.29,75.29,75.29,75.29,38,100,10.8
214,Port-Cartier,CA,2022-02-02 21:56:44,50.0334,-66.8654,26.74,26.74,26.74,26.74,94,100,11.1
215,Mehamn,NO,2022-02-02 22:01:00,71.0357,27.8492,17.51,17.51,17.51,17.51,73,100,9.48
216,Yarmouth,US,2022-02-02 22:01:01,41.7057,-70.2286,43.47,43.47,43.47,43.47,96,100,4.61
217,Mount Gambier,AU,2022-02-02 22:00:25,-37.8333,140.7667,58.59,58.59,58.59,58.59,63,100,9.33
218,Saint-Leu,RE,2022-02-02 22:01:01,-21.15,55.2833,79.66,79.66,79.66,79.66,87,100,29.21
219,Gobabis,NA,2022-02-02 22:01:02,-22.45,18.9667,66.42,66.42,66.42,66.42,79,73,6.53
220,Makaryev,RU,2022-02-02 22:01:02,57.8797,43.8069,16.34,16.34,16.34,16.34,96,99,6.33
221,Harper,LR,2022-02-02 22:01:02,4.375,-7.7169,79.2,79.2,79.2,79.2,79,84,7.05
222,Touros,BR,2022-02-02 21:56:50,-5.1989,-35.4608,83.3,83.3,83.3,83.3,72,39,12.84
223,Algeciras,ES,2022-02-02 22:01:03,36.1333,-5.4505,53.37,53.37,53.37,53.37,83,90,6.24
224,Singkang,MY,2022-02-02 22:01:04,2.1006,102.7994,72.37,72.37,72.37,72.37,95,46,3.22
225,Ulundi,ZA,2022-02-02 22:02:04,-28.3352,31.4162,70.25,70.25,70.25,70.25,98,9,3.56
226,Kyren,RU,2022-02-02 22:02:04,51.6828,102.1408,0.3,0.3,0.3,0.3,85,71,1.34
227,Traverse City,US,2022-02-02 22:02:01,44.7631,-85.6206,21.94,21.94,21.94,21.94,72,100,10.36
228,Prado,BR,2022-02-02 22:02:05,-17.3411,-39.2208,78.58,78.58,78.58,78.58,85,95,7.09
229,Hargeysa,SO,2022-02-02 22:02:05,9.56,44.065,59.7,59.7,59.7,59.7,91,98,11.05
230,Sola,VU,2022-02-02 22:02:06,-13.8833,167.55,80.91,80.91,80.91,80.91,79,98,6.2
