City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
478,Bohicon,BJ,80.96,clear sky,7.18,2.07,Hôtel La Majesté
480,Kisangani,CD,75.56,overcast clouds,0.52,25.2,Grand Ramela Hotel
490,Belaguntha,IN,85.96,scattered clouds,19.88,84.65,ଗୋପାଳ ସମାଜ ସଭା ଗୃହ
493,Benjamin Constant,BR,75.33,very heavy rain,-4.38,-70.03,CASA AVALIADA
497,Gamba,GA,78.78,overcast clouds,-2.65,10.0,
517,Kavaratti,IN,79.47,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
518,Bubaque,GW,76.82,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
524,Touros,BR,76.1,scattered clouds,-5.2,-35.46,INN NEW HORIZON
526,Birao,CF,84.58,clear sky,10.28,22.79,
528,Kamwenge,UG,85.33,overcast clouds,0.19,30.45,Club Afreca Annex
529,Fayaoue,NC,80.49,overcast clouds,-20.65,166.53,Chez Dydyce Guesthouse
531,Hoopstad,ZA,76.68,broken clouds,-27.83,25.91,Fouries Guesthouse
534,Saint-Pierre,RE,82.04,light rain,-21.34,55.48,Lindsey Hôtel
541,Champerico,GT,80.35,clear sky,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
542,Kapoeta,SS,84.25,overcast clouds,4.77,33.59,Eastgate Hotel
546,Palu,ID,82.89,light rain,-0.89,119.87,Hotel Santika Palu
552,Madang,PG,81.57,broken clouds,-5.22,145.8,Comfort Inn Hotel
558,Kieta,PG,81.81,overcast clouds,-6.22,155.63,Uruna Bay Retreat
566,Luanda,AO,77.34,overcast clouds,-8.84,13.23,Hotel Fórum
567,Ouango,CF,88.0,broken clouds,4.31,22.56,
569,Lhokseumawe,ID,84.43,heavy intensity rain,5.18,97.15,OYO 3278 Penginapan Alfajri
571,Taganak,PH,82.54,broken clouds,6.08,118.3,Taganak
586,Oistins,BB,75.29,few clouds,13.07,-59.53,Butterfly Beach Hotel
589,Moerai,PF,78.64,light rain,-22.43,-151.33,Le Manotel
590,Port Augusta,AU,85.71,overcast clouds,-32.5,137.77,Majestic Oasis Apartments
594,Bayeux,BR,77.63,broken clouds,-7.12,-34.93,Hotel Villa Rica
600,Ambilobe,MG,82.42,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
603,Am Timan,TD,78.55,clear sky,11.03,20.28,Palais du chef Canton Salamt
608,Ramapuram,IN,85.86,overcast clouds,13.12,79.2,Sri Annam Farms
609,Barentu,ER,78.46,few clouds,15.11,37.59,
610,Mundi,IN,75.47,clear sky,22.07,76.5,TIWARI NIWAS
620,Kralendijk,BQ,78.46,few clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
621,Mayor Pablo Lagerenza,PY,76.73,clear sky,-19.93,-60.77,
622,Gogrial,SS,88.99,scattered clouds,8.53,28.1,
623,Broken Hill,AU,78.51,clear sky,-31.95,141.43,Daydream Motel & Cottages
626,Manuk Mangkaw,PH,81.99,moderate rain,4.8,119.85,
627,Rabaul,PG,83.01,overcast clouds,-4.2,152.17,Rabaul Hotel
634,Santiago Del Estero,AR,77.04,overcast clouds,-27.8,-64.26,Apartamentos Castelli 90
638,Harper,LR,78.91,broken clouds,4.38,-7.72,Screensaver
653,Tubuala,PA,76.33,overcast clouds,9.52,-79.03,
654,Gladstone,AU,84.13,broken clouds,-23.85,151.25,Highpoint International Hotel
656,Balabac,PH,81.9,broken clouds,7.99,117.06,Sing and Swing Lodge
657,Antalaha,MG,82.83,overcast clouds,-14.9,50.28,Hotel Vitasoa
658,Mackay,AU,80.58,light rain,-21.15,149.2,International Lodge Motel
667,Kupang,ID,80.83,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
673,Pangai,TO,79.84,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
678,Hambantota,LK,89.94,few clouds,6.12,81.12,Bungalow 63
679,Romblon,PH,77.47,overcast clouds,12.58,122.27,Tiamban Aqua Club Beach Resort
